press,title,nlink,date
뉴시스,"애플이 3위인데…삼성전자, 英 퓨처브랜드 '1위'",https://n.news.naver.com/mnews/article/003/0012848035,2시간 전
연합뉴스,"""삼성전자, 아시아서 브랜드 가치 1위""…100위 내 한국 4곳",https://n.news.naver.com/mnews/article/001/0014990872,17시간 전
경향신문,"삼성전자, 역대급으로 얇은 ‘갤럭시 Z폴드SE’ 21일 공개",https://n.news.naver.com/mnews/article/032/0003326865,1일 전
조선비즈,"삼성전자, 78일만에 전삼노와 임단협 본교섭 재개",https://n.news.naver.com/mnews/article/366/0001025100,17시간 전
전자신문,"삼성전자, 업계 첫 '24Gb GDDR7 D램' 개발",https://n.news.naver.com/mnews/article/030/0003248270,19면 TOP
TV조선,"삼성전자, 업계 최초 '24Gb GDDR7 D램' 개발",https://n.news.naver.com/mnews/article/448/0000483378,1일 전
국민일보,"원수마냥 삼성 까던 국회의원, 결국 “전자 주식 샀다”",https://n.news.naver.com/mnews/article/005/0001732037,20시간 전
디지털타임스,삼성전자 AI 반도체 반격… 세계최초 그래픽용 D램 개발,https://n.news.naver.com/mnews/article/029/0002909406,9면 TOP
매일경제,“일본도 인정하다니 놀랍다”...아시아 브랜드 가치 1위는 삼성전자,https://n.news.naver.com/mnews/article/009/0005381138,17시간 전
부산일보,"시·삼성전자, 대중소 상생형 스마트공장 기초단계 구축 지원",https://n.news.naver.com/mnews/article/082/0001293208,6면 1단
